human_id,other_id,sim
ENST00000521251.1|ENSG00000253172.1|OTTHUMG00000163320.1|OTTHUMT00000372664.1|CTC-209H22.3-001|CTC-209H22.3|496|,ENSMUST00000011196.6|ENSMUSG00000011052.6|OTTMUSG00000035781.2|OTTMUST00000091564.2|1700049J03Rik-001|1700049J03Rik|421|,0.88147765
ENST00000548901.1|ENSG00000257438.1|OTTHUMG00000169764.1|OTTHUMT00000405768.1|RP11-114F10.3-001|RP11-114F10.3|753|,ENSMUST00000020222.1|ENSMUSG00000020033.2|OTTMUSG00000033205.2|OTTMUST00000083148.2|4930463O16Rik-001|4930463O16Rik|2088|,0.9329174
ENST00000504989.1|ENSG00000250584.2|OTTHUMG00000161736.2|OTTHUMT00000365923.2|LINC01511-001|LINC01511|1616|,ENSMUST00000022049.3|ENSMUSG00000021566.6|OTTMUSG00000033254.2|OTTMUST00000083368.2|Slc6a19os-001|Slc6a19os|1529|,0.9593547
ENST00000627044.1|ENSG00000281721.1|OTTHUMG00000189563.1|OTTHUMT00000479972.1|LINC01080-001|LINC01080|2242|,ENSMUST00000022711.7|ENSMUSG00000022116.7|OTTMUSG00000047331.1|OTTMUST00000122336.1|4930449E01Rik-001|4930449E01Rik|595|,0.9470132
ENST00000425113.1|ENSG00000232825.1|OTTHUMG00000010766.2|OTTHUMT00000029675.2|RP5-896L10.1-001|RP5-896L10.1|2544|,ENSMUST00000029642.7|ENSMUSG00000028009.7|OTTMUSG00000045253.2|OTTMUST00000118871.2|1700061I17Rik-001|1700061I17Rik|1962|,0.97758514
ENST00000501387.5|ENSG00000247131.5|OTTHUMG00000169398.1|OTTHUMT00000403871.1|RP11-588G21.2-001|RP11-588G21.2|2538|,ENSMUST00000033651.3|ENSMUSG00000031294.9|OTTMUSG00000039808.1|OTTMUST00000103482.1|D630029K05Rik-001|D630029K05Rik|2133|,0.9573108
ENST00000526041.1|ENSG00000255528.1|OTTHUMG00000166544.1|OTTHUMT00000390364.1|RP11-25I9.2-001|RP11-25I9.2|333|,ENSMUST00000034550.3|ENSMUSG00000032048.3|OTTMUSG00000047437.1|OTTMUST00000122486.1|4930510E17Rik-001|4930510E17Rik|1639|,0.9019588
ENST00000504050.5|ENSG00000248491.5|OTTHUMG00000161765.1|OTTHUMT00000366023.1|RP11-125O18.1-001|RP11-125O18.1|645|,ENSMUST00000035860.6|ENSMUSG00000037884.6|OTTMUSG00000042354.2|OTTMUST00000111618.1|1700017G19Rik-001|1700017G19Rik|2437|,0.95252115
ENST00000434974.1|ENSG00000230417.11|OTTHUMG00000018552.3|OTTHUMT00000048934.1|LINC00856-012|LINC00856|2692|,ENSMUST00000038250.3|ENSMUSG00000038792.3|OTTMUSG00000034633.1|OTTMUST00000087899.1|4931403M11Rik-001|4931403M11Rik|986|,0.9604371
ENST00000617298.1|ENSG00000275830.1|OTTHUMG00000187265.1|OTTHUMT00000474664.1|RP11-403A3.3-001|RP11-403A3.3|936|,ENSMUST00000040608.4|ENSMUSG00000038917.4|OTTMUSG00000047674.2|OTTMUST00000122865.2|3930402G23Rik-001|3930402G23Rik|3086|,0.9771893
ENST00000432910.5|ENSG00000228340.5|OTTHUMG00000032883.1|OTTHUMT00000079947.1|MIR646HG-001|MIR646HG|2043|,ENSMUST00000041998.1|ENSMUSG00000039138.1|OTTMUSG00000016215.2|OTTMUST00000038858.2|4930591A17Rik-001|4930591A17Rik|737|,0.95320916
ENST00000538094.1|ENSG00000214851.4|OTTHUMG00000168288.1|OTTHUMT00000399174.1|LINC00612-001|LINC00612|2213|,ENSMUST00000043553.3|ENSMUSG00000040657.3|OTTMUSG00000024660.1|OTTMUST00000060650.1|1700063H04Rik-001|1700063H04Rik|817|,0.95576
ENST00000612252.1|ENSG00000277801.1|OTTHUMG00000188137.1|OTTHUMT00000476267.1|RP11-681H18.2-001|RP11-681H18.2|832|,ENSMUST00000046994.1|ENSMUSG00000033731.9|OTTMUSG00000033008.2|OTTMUST00000082343.2|3300002A11Rik-001|3300002A11Rik|654|,0.9497777
ENST00000428643.1|ENSG00000234705.1|OTTHUMG00000020753.1|OTTHUMT00000054468.1|HMGA1P4-001|HMGA1P4|334|,ENSMUST00000047607.2|ENSMUSG00000039798.2|OTTMUSG00000012689.2|OTTMUST00000030250.2|2600006K01Rik-001|2600006K01Rik|1406|,0.9082692
ENST00000625026.1|ENSG00000278981.1|OTTHUMG00000189144.1|OTTHUMT00000478945.1|RP11-9N12.2-001|RP11-9N12.2|1619|,ENSMUST00000047876.6|ENSMUSG00000074517.2|OTTMUSG00000046341.1|OTTMUST00000120779.1|Gm10710-001|Gm10710|3971|,0.97556305
ENST00000505645.1|ENSG00000249492.1|OTTHUMG00000162227.2|OTTHUMT00000368008.2|RP11-159F24.3-001|RP11-159F24.3|482|,ENSMUST00000048965.4|ENSMUSG00000025450.4|OTTMUSG00000037053.1|OTTMUST00000095291.1|Gm9752-001|Gm9752|2659|,0.95265913
ENST00000601905.1|ENSG00000268597.1|OTTHUMG00000182937.1|OTTHUMT00000464395.1|RP11-157B13.8-001|RP11-157B13.8|386|,ENSMUST00000049518.4|ENSMUSG00000044081.7|OTTMUSG00000032932.2|OTTMUST00000082083.1|Zfp85os-002|Zfp85os|2624|,0.89852476
ENST00000476021.1|ENSG00000239519.1|OTTHUMG00000158987.1|OTTHUMT00000352814.1|CADM2-AS1-001|CADM2-AS1|2656|,ENSMUST00000050665.3|ENSMUSG00000045178.10|OTTMUSG00000026544.1|-|4933411O13Rik-201|4933411O13Rik|1464|,0.9765677
ENST00000508313.1|ENSG00000248319.1|OTTHUMG00000160949.2|OTTHUMT00000363108.2|RP11-205M3.3-001|RP11-205M3.3|4365|,ENSMUST00000052189.3|ENSMUSG00000045746.3|OTTMUSG00000047659.1|OTTMUST00000122834.1|B230317F23Rik-001|B230317F23Rik|2472|,0.98425424
ENST00000610279.1|ENSG00000272892.1|OTTHUMG00000186404.1|OTTHUMT00000473099.1|RP11-57G10.8-001|RP11-57G10.8|1222|,ENSMUST00000054837.4|ENSMUSG00000045391.4|OTTMUSG00000045485.1|OTTMUST00000119291.1|1700120B22Rik-001|1700120B22Rik|464|,0.93636906
ENST00000446489.1|ENSG00000229512.1|OTTHUMG00000045359.1|OTTHUMT00000105340.1|AC068580.5-001|AC068580.5|252|,ENSMUST00000054910.8|ENSMUSG00000043795.9|OTTMUSG00000016823.2|OTTMUST00000040867.1|Prr33-001|Prr33|2251|,0.8981091
ENST00000563435.1|ENSG00000261044.1|OTTHUMG00000173438.1|OTTHUMT00000423120.1|AP006547.3-001|AP006547.3|692|,ENSMUST00000056711.1|ENSMUSG00000044276.2|OTTMUSG00000023666.1|-|4933427E11Rik-201|4933427E11Rik|1214|,0.9366921
ENST00000503589.1|ENSG00000248719.1|OTTHUMG00000160883.1|OTTHUMT00000362781.1|RP11-377G16.2-001|RP11-377G16.2|566|,ENSMUST00000057889.7|ENSMUSG00000045238.9|OTTMUSG00000053330.1|OTTMUST00000133183.1|A730035I17Rik-001|A730035I17Rik|2248|,0.93287873
ENST00000488201.1|ENSG00000241359.1|OTTHUMG00000158700.1|OTTHUMT00000351799.1|SYNPR-AS1-001|SYNPR-AS1|558|,ENSMUST00000060526.10|ENSMUSG00000051729.11|OTTMUSG00000027774.2|OTTMUST00000087874.1|Gm5087-002|Gm5087|1921|,0.9420122
ENST00000564381.2|ENSG00000261045.2|OTTHUMG00000177036.2|OTTHUMT00000434963.2|RP11-673P17.4-001|RP11-673P17.4|692|,ENSMUST00000061823.2|ENSMUSG00000045928.2|OTTMUSG00000058196.1|OTTMUST00000142903.1|4933440M02Rik-003|4933440M02Rik|3801|,0.96911657
ENST00000443504.1|ENSG00000231662.1|OTTHUMG00000014325.1|OTTHUMT00000039969.1|RP11-686D16.1-001|RP11-686D16.1|381|,ENSMUST00000061899.5|ENSMUSG00000047324.5|OTTMUSG00000046905.1|OTTMUST00000121606.1|4931429P17Rik-001|4931429P17Rik|2012|,0.9387664
ENST00000322227.6|ENSG00000177369.8|OTTHUMG00000161323.1|OTTHUMT00000364528.1|FLJ40194-001|FLJ40194|2317|,ENSMUST00000062249.2|ENSMUSG00000045075.3|OTTMUSG00000046080.1|-|Gm9796-201|Gm9796|2250|,0.9693009
ENST00000451424.1|ENSG00000117242.7|OTTHUMG00000002840.1|OTTHUMT00000007953.1|PINK1-AS-001|PINK1-AS|4443|,ENSMUST00000062902.6|ENSMUSG00000046109.6|OTTMUSG00000009981.1|OTTMUST00000023204.1|AB041806-001|AB041806|2105|,0.9813381
ENST00000623590.1|ENSG00000279181.1|OTTHUMG00000175920.1|OTTHUMT00000431274.1|RP11-711M9.2-001|RP11-711M9.2|212|,ENSMUST00000063376.9|ENSMUSG00000051844.13|OTTMUSG00000035767.1|OTTMUST00000091512.1|B230319C09Rik-001|B230319C09Rik|1689|,0.90792674
ENST00000562349.1|ENSG00000260115.1|OTTHUMG00000176319.1|OTTHUMT00000431757.1|CTC-420A11.2-001|CTC-420A11.2|714|,ENSMUST00000064349.5|ENSMUSG00000052479.5|OTTMUSG00000019499.2|OTTMUST00000046569.1|A330008L17Rik-002|A330008L17Rik|3220|,0.9437853
ENST00000623739.1|ENSG00000279684.1|OTTHUMG00000167522.1|OTTHUMT00000394899.1|RP11-755E23.2-001|RP11-755E23.2|2275|,ENSMUST00000066038.3|ENSMUSG00000089702.1|OTTMUSG00000034158.1|OTTMUST00000086553.1|Gm16568-001|Gm16568|1910|,0.96709174
ENST00000575890.1|ENSG00000263272.1|OTTHUMG00000177873.1|OTTHUMT00000439386.1|CTC-524C5.2-001|CTC-524C5.2|1938|,ENSMUST00000066087.3|ENSMUSG00000053574.4|OTTMUSG00000006097.3|-|4930563E22Rik-201|4930563E22Rik|3313|,0.97103906
ENST00000451400.1|ENSG00000235597.1|OTTHUMG00000153050.1|OTTHUMT00000329242.1|LINC01102-001|LINC01102|3778|,ENSMUST00000066196.1|ENSMUSG00000053640.2|OTTMUSG00000046299.1|-|Gm9915-201|Gm9915|1383|,0.9713755
ENST00000534620.1|ENSG00000254607.2|OTTHUMG00000165802.2|OTTHUMT00000386281.1|RP11-115C10.1-001|RP11-115C10.1|408|,ENSMUST00000066604.3|ENSMUSG00000053889.5|OTTMUSG00000034713.1|OTTMUST00000088182.1|Kirrel3os-001|Kirrel3os|3799|,0.9545233
ENST00000521363.1|ENSG00000253802.1|OTTHUMG00000164047.1|OTTHUMT00000376945.1|CTA-392C11.1-003|CTA-392C11.1|881|,ENSMUST00000066740.4|ENSMUSG00000053979.4|OTTMUSG00000033925.2|OTTMUST00000085583.2|A730045E13Rik-001|A730045E13Rik|854|,0.96529055
ENST00000501143.1|ENSG00000246777.1|OTTHUMG00000173477.1|OTTHUMT00000423240.1|RP11-61A14.4-001|RP11-61A14.4|2894|,ENSMUST00000067136.6|ENSMUSG00000023737.13|OTTMUSG00000035467.1|OTTMUST00000090775.1|1700082M22Rik-001|1700082M22Rik|2022|,0.9650911
ENST00000582531.1|ENSG00000264876.1|OTTHUMG00000178510.1|OTTHUMT00000442259.1|RP11-138E9.2-001|RP11-138E9.2|928|,ENSMUST00000067450.2|ENSMUSG00000041789.7|OTTMUSG00000046704.1|OTTMUST00000121312.1|2700046A07Rik-001|2700046A07Rik|2101|,0.97828645
ENST00000429443.1|ENSG00000235121.1|OTTHUMG00000035769.1|OTTHUMT00000087023.1|RP11-90L20.2-001|RP11-90L20.2|1809|,ENSMUST00000067468.5|ENSMUSG00000054412.5|OTTMUSG00000049807.1|OTTMUST00000126861.1|Gm4793-001|Gm4793|2616|,0.9647646
