人类基因	小鼠基因	提取状态
ENSG00000282943	ENSMUSG00000108545	成功
ENSG00000270223	ENSMUSG00000103697	成功
ENSG00000256299	ENSMUSG00000105483	成功
ENSG00000268055	ENSMUSG00000099098	成功
ENSG00000248115	ENSMUSG00000107027	成功
ENSG00000265800	ENSMUSG00000085651	成功
ENSG00000236938	ENSMUSG00000107681	成功
ENSG00000232884	ENSMUSG00000109338	成功
ENSG00000264149	ENSMUSG00000095438	成功
ENSG00000268375	ENSMUSG00000108432	成功
ENSG00000270055	ENSMUSG00000108338	成功
ENSG00000229896	ENSMUSG00000085759	成功
ENSG00000232643	ENSMUSG00000087647	成功
ENSG00000254288	ENSMUSG00000102457	成功
ENSG00000280227	ENSMUSG00000110106	成功
ENSG00000272167	ENSMUSG00000104435	成功
ENSG00000253280	ENSMUSG00000095306	成功
ENSG00000280392	ENSMUSG00000110079	成功
ENSG00000260242	ENSMUSG00000108980	成功
ENSG00000272010	ENSMUSG00000103135	成功
ENSG00000241409	ENSMUSG00000089821	成功
ENSG00000235919	ENSMUSG00000105512	成功
ENSG00000267044	ENSMUSG00000097226	成功
ENSG00000259644	ENSMUSG00000108533	成功
ENSG00000227958	ENSMUSG00000087196	成功
ENSG00000236958	ENSMUSG00000085456	成功
ENSG00000272657	ENSMUSG00000051297	成功
ENSG00000278390	ENSMUSG00000103701	成功
ENSG00000248636	ENSMUSG00000086122	成功
ENSG00000196893	ENSMUSG00000086636	成功
ENSG00000235007	ENSMUSG00000090157	成功
ENSG00000253187	ENSMUSG00000086427	成功
ENSG00000279537	ENSMUSG00000084802	成功
ENSG00000278901	ENSMUSG00000103456	成功
ENSG00000259422	ENSMUSG00000102617	成功
ENSG00000283317	ENSMUSG00000104340	成功
ENSG00000251011	ENSMUSG00000099616	成功
ENSG00000197813	ENSMUSG00000087138	成功
ENSG00000261353	ENSMUSG00000085024	成功
ENSG00000226416	ENSMUSG00000087090	成功
ENSG00000272849	ENSMUSG00000104951	成功
ENSG00000279009	ENSMUSG00000085712	成功
ENSG00000278451	ENSMUSG00000087690	成功
ENSG00000261831	ENSMUSG00000102833	成功
ENSG00000256894	ENSMUSG00000085658	成功
ENSG00000257400	ENSMUSG00000085409	成功
ENSG00000278493	ENSMUSG00000087555	成功
ENSG00000253170	ENSMUSG00000105880	成功
ENSG00000235121	ENSMUSG00000054412	成功
ENSG00000278390	ENSMUSG00000102808	成功
ENSG00000253632	ENSMUSG00000109846	成功
ENSG00000229543	ENSMUSG00000072686	成功
ENSG00000272742	ENSMUSG00000100320	成功
ENSG00000278112	ENSMUSG00000105382	成功
ENSG00000279398	ENSMUSG00000086428	成功
ENSG00000255143	ENSMUSG00000108977	成功
ENSG00000234754	ENSMUSG00000102158	成功
ENSG00000264569	ENSMUSG00000087638	成功
ENSG00000253172	ENSMUSG00000091078	成功
ENSG00000253737	ENSMUSG00000089949	成功
ENSG00000259478	ENSMUSG00000108924	成功
ENSG00000270127	ENSMUSG00000109039	成功
ENSG00000283304	ENSMUSG00000110380	成功
ENSG00000257221	ENSMUSG00000092183	成功
ENSG00000282199	ENSMUSG00000087216	成功
ENSG00000260219	ENSMUSG00000108617	成功
ENSG00000228877	ENSMUSG00000085929	成功
ENSG00000260926	ENSMUSG00000087458	成功
ENSG00000283445	ENSMUSG00000084918	成功
ENSG00000254531	ENSMUSG00000099508	成功
ENSG00000228086	ENSMUSG00000105339	成功
ENSG00000223436	ENSMUSG00000086763	成功
ENSG00000234162	ENSMUSG00000100480	成功
ENSG00000254665	ENSMUSG00000109107	成功
ENSG00000283240	ENSMUSG00000107675	成功
ENSG00000273365	ENSMUSG00000103139	成功
ENSG00000248408	ENSMUSG00000097516	成功
ENSG00000236495	ENSMUSG00000086445	成功
ENSG00000266994	ENSMUSG00000086464	成功
ENSG00000258727	ENSMUSG00000102798	成功
ENSG00000251461	ENSMUSG00000099928	成功
ENSG00000229051	ENSMUSG00000105834	成功
ENSG00000271522	ENSMUSG00000086542	成功
ENSG00000263443	ENSMUSG00000090002	成功
ENSG00000238156	ENSMUSG00000086608	成功
ENSG00000205037	ENSMUSG00000098109	成功
ENSG00000280132	ENSMUSG00000108604	成功
ENSG00000248942	ENSMUSG00000110235	成功
ENSG00000255507	ENSMUSG00000109130	成功
ENSG00000235637	ENSMUSG00000086657	成功
ENSG00000258325	ENSMUSG00000107753	成功
ENSG00000258317	ENSMUSG00000097372	成功
ENSG00000232825	ENSMUSG00000028009	成功
ENSG00000258871	ENSMUSG00000102029	成功
ENSG00000241073	ENSMUSG00000097737	成功
ENSG00000229751	ENSMUSG00000084859	成功
ENSG00000272995	ENSMUSG00000105502	成功
ENSG00000281692	ENSMUSG00000089633	成功
ENSG00000228798	ENSMUSG00000103932	成功
ENSG00000267054	ENSMUSG00000108624	成功
ENSG00000232192	ENSMUSG00000089713	成功
ENSG00000279683	ENSMUSG00000102143	成功
ENSG00000248685	ENSMUSG00000105903	成功
ENSG00000256199	ENSMUSG00000100143	成功
ENSG00000268318	ENSMUSG00000108695	成功
ENSG00000179452	ENSMUSG00000101880	成功
ENSG00000262251	ENSMUSG00000085890	成功
ENSG00000255191	ENSMUSG00000109442	成功
ENSG00000234921	ENSMUSG00000108210	成功
ENSG00000279527	ENSMUSG00000105583	成功
ENSG00000227981	ENSMUSG00000101764	成功
ENSG00000259517	ENSMUSG00000109696	成功
ENSG00000257025	ENSMUSG00000104175	成功
ENSG00000249679	ENSMUSG00000085440	成功
ENSG00000236908	ENSMUSG00000085813	成功
ENSG00000223949	ENSMUSG00000085871	成功
ENSG00000267637	ENSMUSG00000087013	成功
ENSG00000232194	ENSMUSG00000103768	成功
ENSG00000229779	ENSMUSG00000085387	成功
ENSG00000259508	ENSMUSG00000097832	成功
ENSG00000228703	ENSMUSG00000085318	成功
ENSG00000272795	ENSMUSG00000105960	成功
ENSG00000233203	ENSMUSG00000104192	成功
ENSG00000242207	ENSMUSG00000085645	成功
ENSG00000253787	ENSMUSG00000102635	成功
ENSG00000249241	ENSMUSG00000106713	成功
ENSG00000279019	ENSMUSG00000097194	成功
ENSG00000260810	ENSMUSG00000097160	成功
ENSG00000280432	ENSMUSG00000096870	成功
ENSG00000262001	ENSMUSG00000097154	成功
ENSG00000248767	ENSMUSG00000103298	成功
ENSG00000236687	ENSMUSG00000086994	成功
ENSG00000232893	ENSMUSG00000103252	成功
ENSG00000223525	ENSMUSG00000103522	成功
ENSG00000225527	ENSMUSG00000087086	成功
ENSG00000272457	ENSMUSG00000085623	成功
ENSG00000228350	ENSMUSG00000103785	成功
ENSG00000235085	ENSMUSG00000085528	成功
ENSG00000259256	ENSMUSG00000093514	成功
ENSG00000256209	ENSMUSG00000104873	成功
ENSG00000237803	ENSMUSG00000103091	成功
ENSG00000258689	ENSMUSG00000090244	成功
ENSG00000271763	ENSMUSG00000108725	成功
