人类基因	小鼠基因	人类转录本	小鼠转录本	提取状态
ENSG00000224511	ENSMUSG00000085237	ENST00000413591	ENSMUST00000133694	成功
ENSG00000230498	ENSMUSG00000105337	ENST00000454305	ENSMUST00000198047	成功
ENSG00000279996	ENSMUSG00000106758	ENST00000623029	ENSMUST00000201839	成功
ENSG00000270959	ENSMUSG00000097867	ENST00000605573	ENSMUST00000181640	成功
ENSG00000248050	ENSMUSG00000097102	ENST00000499579	ENSMUST00000181839	成功
ENSG00000261273	ENSMUSG00000093682	ENST00000563190	ENSMUST00000176061	成功
ENSG00000279733	ENSMUSG00000109244	ENST00000624727	ENSMUST00000208302	成功
ENSG00000249669	ENSMUSG00000097324	ENST00000614896	ENSMUST00000182244	成功
ENSG00000228852	ENSMUSG00000106329	ENST00000624135	ENSMUST00000199790	成功
ENSG00000259974	ENSMUSG00000084774	ENST00000564492	ENSMUST00000127688	成功
ENSG00000258869	ENSMUSG00000085820	ENST00000557296	ENSMUST00000135423	成功
ENSG00000236340	ENSMUSG00000107377	ENST00000413812	ENSMUST00000202562	成功
ENSG00000255246	ENSMUSG00000097644	ENST00000527364	ENSMUST00000181886	成功
ENSG00000257913	ENSMUSG00000097587	ENST00000547866	ENSMUST00000180490	成功
ENSG00000237125	ENSMUSG00000109908	ENST00000503198	ENSMUST00000211191	成功
ENSG00000242791	ENSMUSG00000104586	ENST00000323689	ENSMUST00000197200	成功
ENSG00000236053	ENSMUSG00000096938	ENST00000432575	ENSMUST00000181315	成功
ENSG00000271811	ENSMUSG00000103195	ENST00000606154	ENSMUST00000192190	成功
ENSG00000260279	ENSMUSG00000099881	ENST00000563087	ENSMUST00000186531	成功
ENSG00000249697	ENSMUSG00000086402	ENST00000504349	ENSMUST00000142621	成功
ENSG00000267044	ENSMUSG00000108942	ENST00000591432	ENSMUST00000207134	成功
ENSG00000245857	ENSMUSG00000109784	ENST00000500823	ENSMUST00000209494	成功
ENSG00000277558	ENSMUSG00000109877	ENST00000618799	ENSMUST00000209333	成功
ENSG00000226872	ENSMUSG00000097764	ENST00000450652	ENSMUST00000181077	成功
ENSG00000248587	ENSMUSG00000103142	ENST00000637926	ENSMUST00000194645	成功
ENSG00000250334	ENSMUSG00000097516	ENST00000508174	ENSMUST00000181724	成功
ENSG00000258957	ENSMUSG00000097801	ENST00000554898	ENSMUST00000181852	成功
ENSG00000272631	ENSMUSG00000090779	ENST00000608826	ENSMUST00000171248	成功
ENSG00000261396	ENSMUSG00000098120	ENST00000567122	ENSMUST00000182863	成功
ENSG00000279078	ENSMUSG00000092090	ENST00000623342	ENSMUST00000164104	成功
ENSG00000231754	ENSMUSG00000086363	ENST00000447728	ENSMUST00000146336	成功
ENSG00000237212	ENSMUSG00000097101	ENST00000432783	ENSMUST00000185652	成功
ENSG00000270022	ENSMUSG00000097301	ENST00000602478	ENSMUST00000181049	成功
ENSG00000205037	ENSMUSG00000097969	ENST00000378417	ENSMUST00000183009	成功
ENSG00000255160	ENSMUSG00000085995	ENST00000528326	ENSMUST00000129551	成功
ENSG00000229774	ENSMUSG00000101179	ENST00000421820	ENSMUST00000186504	成功
ENSG00000279913	ENSMUSG00000099146	ENST00000624114	ENSMUST00000185046	成功
ENSG00000239213	ENSMUSG00000103657	ENST00000461864	ENSMUST00000192389	成功
ENSG00000272108	ENSMUSG00000073590	ENST00000606030	ENSMUST00000192137	成功
ENSG00000234177	ENSMUSG00000060424	ENST00000424321	ENSMUST00000177136	成功
ENSG00000258908	ENSMUSG00000103730	ENST00000554678	ENSMUST00000194838	成功
ENSG00000271434	ENSMUSG00000109270	ENST00000440536	ENSMUST00000207036	成功
ENSG00000268798	ENSMUSG00000097013	ENST00000594262	ENSMUST00000181265	成功
ENSG00000260305	ENSMUSG00000052629	ENST00000569588	ENSMUST00000064591	成功
ENSG00000230709	ENSMUSG00000085132	ENST00000428142	ENSMUST00000139025	成功
ENSG00000234614	ENSMUSG00000104669	ENST00000434182	ENSMUST00000197971	成功
ENSG00000280304	ENSMUSG00000099853	ENST00000623551	ENSMUST00000207028	成功
ENSG00000227811	ENSMUSG00000074346	ENST00000524935	ENSMUST00000130683	成功
ENSG00000266903	ENSMUSG00000090075	ENST00000590796	ENSMUST00000162649	成功
